15:50:18 [INFO] Discovering files in output/extracted_chm...
15:51:13 [INFO] [ 16.5%] (6700/40625) IMMSGroupTypeDGeometry_DeleteAllCenterLineProfile.html
15:51:13 [INFO] [ 16.7%] (6800/40625) IMTT2DAssembly_BufferRadiusFactor.html
15:51:14 [INFO] [ 17.0%] (6900/40625) IMTT2DContactPropertyPGuide_StiffnessExponent.html
15:51:14 [INFO] [ 17.2%] (7000/40625) IMTT2DContactPropertyRollerToSheet_UseSpecialStiffnessExponent.html
15:51:15 [INFO] [ 17.5%] (7100/40625) IMTT2DForceSpring_UserData.html
15:51:16 [INFO] [ 17.7%] (7200/40625) IMTT2DGroupFixedRoller.html
15:51:16 [INFO] [ 18.0%] (7300/40625) IMTT2DGroupMovableRoller_UseAutoCenterMarker.html
15:51:17 [INFO] [ 18.2%] (7400/40625) IMTT2DGroupSheet_SheetBodyCollection.html
15:51:17 [INFO] [ 18.5%] (7500/40625) IMTT2DGuideLinear_ImaginaryPEdgeRadius.html
15:51:18 [INFO] [ 18.7%] (7600/40625) IMTT2DSubSystem_ForceNodalCollection.html
15:51:18 [INFO] [ 19.0%] (7700/40625) IMTT3DContactProperty_SpecialStiffness.html
15:51:19 [INFO] [ 19.2%] (7800/40625) IMTT3DContactPropertyRollerMovableToFixed_UseSpecialStiffness.html
15:51:19 [INFO] [ 19.4%] (7900/40625) IMTT3DForceNodal_GetAppliedBody.html
15:51:20 [INFO] [ 19.7%] (8000/40625) IMTT3DGroupFixedRoller_FullName.html
15:51:20 [INFO] [ 19.9%] (8100/40625) IMTT3DGuide_UserData.html
15:51:21 [INFO] [ 20.2%] (8200/40625) IMTT3DPointCollection_Item.html
15:51:25 [INFO] [ 20.4%] (8300/40625) IMTT3DSheet_UseSpecialTransverseShearModulus1.html
15:51:25 [INFO] [ 20.7%] (8400/40625) IMTT3DSheetShell_Thickness.html
15:51:26 [INFO] [ 20.9%] (8500/40625) MTT3DExample_IMTT3DSheet_Shape_Folding.html
15:51:27 [INFO] [ 21.2%] (8600/40625) IParticleInterfaceSensorCollection_Item.html
15:51:27 [INFO] [ 21.4%] (8700/40625) ContourStressComponent.html
15:51:28 [INFO] [ 21.7%] (8800/40625) ICampbellDiagram_UpdateSignalData.html
15:51:28 [INFO] [ 21.9%] (8900/40625) IChart3D_SliceViewer.html
15:51:29 [INFO] [ 22.2%] (9000/40625) IChart3DStyleMinorGridLine_FullName.html
15:51:29 [INFO] [ 22.4%] (9100/40625) IChartAxis3D_SetMinMax.html
15:51:30 [INFO] [ 22.6%] (9200/40625) IChartAxisX3D_MajorTickLineStyle.html
15:51:30 [INFO] [ 22.9%] (9300/40625) IChartAxisZ3D_TickLabelAlignment.html
15:51:31 [INFO] [ 23.1%] (9400/40625) IChartModifierLegend_FontStyle.html
15:51:31 [INFO] [ 23.4%] (9500/40625) IChartPointMarker_Width.html
15:51:32 [INFO] [ 23.6%] (9600/40625) IChartStyleMajorGridLine_LineStyle.html
15:51:32 [INFO] [ 23.9%] (9700/40625) IDataFileDatabase_GetDatabaseItem.html
15:51:33 [INFO] [ 24.1%] (9800/40625) IEntityPlot_Name.html
15:51:33 [INFO] [ 24.4%] (9900/40625) IMainViewModel_ShowScriptEditorWindowCommand.html
15:51:34 [INFO] [ 24.6%] (10000/40625) IPlot3D_UpdateView.html
15:51:34 [INFO] [ 24.9%] (10100/40625) IRecurDynEntityContact.html
15:51:35 [INFO] [ 25.1%] (10200/40625) ISeriesCollection_Count.html
15:51:36 [INFO] [ 25.4%] (10300/40625) PostExample_IChart3D_Legend.html
15:51:36 [INFO] [ 25.6%] (10400/40625) EntityType.html
15:51:37 [INFO] [ 25.8%] (10500/40625) IAnimationScaling_UseAccumulationAngle.html
15:51:37 [INFO] [ 26.1%] (10600/40625) IBeamCrossSectionHollowRectangualr_UsePoissonRatio.html
15:51:38 [INFO] [ 26.3%] (10700/40625) IBody_CreateSewSurfaceGeometryRelation.html
15:51:38 [INFO] [ 26.6%] (10800/40625) IBody_Density2.html
15:51:39 [INFO] [ 26.8%] (10900/40625) ICameraMulti_CameraMovingCollection.html
15:51:39 [INFO] [ 27.1%] (11000/40625) ICoefficient_Coefficient.html
15:51:40 [INFO] [ 27.3%] (11100/40625) IContactAttribute_Comment.html
15:51:40 [INFO] [ 27.6%] (11200/40625) IContactCircleToCircle_Active.html
15:51:41 [INFO] [ 27.8%] (11300/40625) IContactConeToCone_ForceDisplayUse.html
15:51:41 [INFO] [ 28.1%] (11400/40625) IContactCylinderInCylinder_OpenEndFace.html
15:51:42 [INFO] [ 28.3%] (11500/40625) IContactExtendedSurfaceToSurface_BaseUpDirection.html
15:51:43 [INFO] [ 28.6%] (11600/40625) IContactGeoCurve_MaxStepSizeFactor.html
15:51:43 [INFO] [ 28.8%] (11700/40625) IContactGeoSurface_ForceDisplayColor.html
15:51:44 [INFO] [ 29.0%] (11800/40625) IContactSphereArcExtrude_ForceDisplayUse.html
15:51:44 [INFO] [ 29.3%] (11900/40625) IContactSphereInCone_Owner.html
15:51:45 [INFO] [ 29.5%] (12000/40625) IContactSphereToArcExtrusion_BufferRadiusFactor.html
15:51:45 [INFO] [ 29.8%] (12100/40625) IContactSphereToCone_ContactProperty.html
15:51:46 [INFO] [ 30.0%] (12200/40625) IContactSphereToTorus_BaseEntityIGeneric.html
15:51:46 [INFO] [ 30.3%] (12300/40625) IContourObjectCollection_Item.html
15:51:47 [INFO] [ 30.5%] (12400/40625) IDOEDesignVariableValue_UB.html
15:51:47 [INFO] [ 30.8%] (12500/40625) IDesignStudyPICollection_Count.html
15:51:48 [INFO] [ 31.0%] (12600/40625) IEquilibriumProperty_Time.html
15:51:48 [INFO] [ 31.3%] (12700/40625) IForceAxial_ForceDisplayUse.html
15:51:49 [INFO] [ 31.5%] (12800/40625) IForceBuoyancy_PreviewReferenceSurfaceFactor.html
15:51:49 [INFO] [ 31.8%] (12900/40625) IForceGap_TranslationalPreloadY.html
15:51:50 [INFO] [ 32.0%] (13000/40625) IForceScrew_ExpressionTY.html
15:51:50 [INFO] [ 32.2%] (13100/40625) IForceTire_UserData.html
15:51:51 [INFO] [ 32.5%] (13200/40625) IForceTranslational.html
15:51:51 [INFO] [ 32.7%] (13300/40625) IGeometryArc_UserData.html
15:51:52 [INFO] [ 33.0%] (13400/40625) IGeometryCone_Owner.html
15:51:52 [INFO] [ 33.2%] (13500/40625) IGeometryFaceSurface_OwnerBody.html
15:51:53 [INFO] [ 33.5%] (13600/40625) IGeometryOutlineSurface_GetBoundingBox.html
15:51:53 [INFO] [ 33.7%] (13700/40625) IGeometrySheetQuadrangle_RefFrame.html
15:51:54 [INFO] [ 34.0%] (13800/40625) IGeometrySheetUVSurface_UserData.html
15:51:54 [INFO] [ 34.2%] (13900/40625) IGeometrySolidFilledSolid_UserData.html
15:51:55 [INFO] [ 34.5%] (14000/40625) IGeometrySolidSweep_FullName.html
15:51:55 [INFO] [ 34.7%] (14100/40625) IGeometryWire_OwnerBody.html
15:51:56 [INFO] [ 35.0%] (14200/40625) IGroupBeam_YoungsModulus.html
15:51:57 [INFO] [ 35.2%] (14300/40625) IIntegratorProperty_UseEndTime.html
15:52:01 [INFO] [ 35.4%] (14400/40625) IJointCurveOnCurve_BaseCurve.html
15:52:01 [INFO] [ 35.7%] (14500/40625) IJointFixed_LayerNumber.html
15:52:02 [INFO] [ 35.9%] (14600/40625) IJointOnOff_Name.html
15:52:02 [INFO] [ 36.2%] (14700/40625) IJointPlanarFriction_StaticFrictionCoefficient.html
15:52:03 [INFO] [ 36.4%] (14800/40625) IJointRevoluteFriction_UseBendingMoment.html
15:52:03 [INFO] [ 36.7%] (14900/40625) IJointTranslational_InitialVelocity.html
15:52:04 [INFO] [ 36.9%] (15000/40625) ILightControl_SetDirection.html
15:52:04 [INFO] [ 37.2%] (15100/40625) IMeasureCircularGeometryResult.html
15:52:05 [INFO] [ 37.4%] (15200/40625) IModelDocument_UpdateView.html
15:52:05 [INFO] [ 37.7%] (15300/40625) IModelSetting_TorqueDisplayScale.html
15:52:06 [INFO] [ 37.9%] (15400/40625) IModelSettingDisplay_HightlightEntityColor.html
15:52:06 [INFO] [ 38.2%] (15500/40625) IMotion_OwnerSubSystem.html
15:52:07 [INFO] [ 38.4%] (15600/40625) IPairConstraint_LayerNumber.html
15:52:07 [INFO] [ 38.6%] (15700/40625) IParametricValueConnector_Update.html
15:52:08 [INFO] [ 38.9%] (15800/40625) IPlotDocument_DrawRangeMax.html
15:52:09 [INFO] [ 39.1%] (15900/40625) IRelationMap_ShowBody.html
15:52:09 [INFO] [ 39.4%] (16000/40625) IRoadData.html
15:52:10 [INFO] [ 39.6%] (16100/40625) IScenarioEigenParameter2_IncludeDamping.html
